GFLOPs,Utilization (%),Cycles,Energy (uJ),EDP (J*cycle),Area (mm^2),Computes,fJ/Compute,layer
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_59
224.0,14.58,22478848,33212.19,747000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3516.75, 'weights_spad': 3676.56, 'ifmap_spad': 940.53, 'shared_glb': 118.11, 'DRAM': 4677.11, 'Total': 13191.84}",ConvNeXt_60
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_61
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_62
224.0,14.58,22478848,33212.19,747000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3516.75, 'weights_spad': 3676.56, 'ifmap_spad': 940.53, 'shared_glb': 118.11, 'DRAM': 4677.11, 'Total': 13191.84}",ConvNeXt_63
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_64
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_65
224.0,14.58,22478848,33212.19,747000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3516.75, 'weights_spad': 3676.56, 'ifmap_spad': 940.53, 'shared_glb': 118.11, 'DRAM': 4677.11, 'Total': 13191.84}",ConvNeXt_66
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_67
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_68
224.0,14.58,22478848,33212.19,747000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3516.75, 'weights_spad': 3676.56, 'ifmap_spad': 940.53, 'shared_glb': 118.11, 'DRAM': 4677.11, 'Total': 13191.84}",ConvNeXt_69
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_70
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_71
224.0,14.58,22478848,33212.19,747000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3516.75, 'weights_spad': 3676.56, 'ifmap_spad': 940.53, 'shared_glb': 118.11, 'DRAM': 4677.11, 'Total': 13191.84}",ConvNeXt_72
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_73
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_74
224.0,14.58,22478848,33212.19,747000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3516.75, 'weights_spad': 3676.56, 'ifmap_spad': 940.53, 'shared_glb': 118.11, 'DRAM': 4677.11, 'Total': 13191.84}",ConvNeXt_75
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_76
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_77
224.0,14.58,22478848,33212.19,747000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3516.75, 'weights_spad': 3676.56, 'ifmap_spad': 940.53, 'shared_glb': 118.11, 'DRAM': 4677.11, 'Total': 13191.84}",ConvNeXt_78
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_79
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_80
224.0,14.58,22478848,33212.19,747000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3516.75, 'weights_spad': 3676.56, 'ifmap_spad': 940.53, 'shared_glb': 118.11, 'DRAM': 4677.11, 'Total': 13191.84}",ConvNeXt_81
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_82
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_83
224.0,14.58,22478848,33212.19,747000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3516.75, 'weights_spad': 3676.56, 'ifmap_spad': 940.53, 'shared_glb': 118.11, 'DRAM': 4677.11, 'Total': 13191.84}",ConvNeXt_84
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_85
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_86
224.0,14.58,22478848,33212.19,747000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3516.75, 'weights_spad': 3676.56, 'ifmap_spad': 940.53, 'shared_glb': 118.11, 'DRAM': 4677.11, 'Total': 13191.84}",ConvNeXt_87
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_88
13.5,0.91,28,0.03,8.67e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 148897.96, 'Total': 157959.01}",ConvNeXt_89
224.0,14.58,22478848,33212.19,747000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3516.75, 'weights_spad': 3676.56, 'ifmap_spad': 940.53, 'shared_glb': 118.11, 'DRAM': 4677.11, 'Total': 13191.84}",ConvNeXt_90
